CTID,OwnerCTID,PublisherCTID
ce-05468175-16a4-4aa6-9554-b7038c302792,ce-71cd8489-246a-492b-a374-6ea5ff905579,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-05481c9f-9b15-4e93-838f-18c1a9d4c6d7,ce-6765e17b-6c18-49ff-af7a-6e14b85ef2c9,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-054f8648-9eab-4ffe-94f4-75b46d4a8188,ce-6765e17b-6c18-49ff-af7a-6e14b85ef2c9,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0550dc8e-50e0-4b5c-beb1-c3c28f3454a3,ce-6765e17b-6c18-49ff-af7a-6e14b85ef2c9,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0572530c-4694-4c6c-b37d-1f3fe181c5dc,ce-0572530c-4694-4c6c-b37d-1f3fe181c5dc,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0575cc7d-37ae-4a69-8bc0-0209bd6909e9,ce-7fceca4b-722e-4885-b3ae-a9f40504815c,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-057ed1bf-aace-4210-bba8-36791d30045b,ce-6be1eaf2-964f-48bd-89e4-da1b9abc000f,ce-6be1eaf2-964f-48bd-89e4-da1b9abc000f
ce-058cdcdc-1f3a-434c-bb52-9543ef075e2b,ce-76c88e16-1f88-45b5-88bb-f54d61b32d07,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-05b7b96f-003c-4fe9-a97d-dcfae747cc95,ce-ab5cf847-04f6-40ad-a54b-08e8bbfe700c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-05c09b41-30f1-43f3-b282-692167e1f5ee,ce-a7f6202e-070b-462c-ab05-e5dc1d9f21f9,ce-a7f6202e-070b-462c-ab05-e5dc1d9f21f9
ce-05d09205-08a7-4352-a63b-d3ecb1f74d46,ce-36adee66-17a0-41f6-b862-d0d49c1a595c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-05ef1fd3-f668-4d86-974c-bfd502a81296,ce-8abb336a-c035-4294-b6b8-c078ceeee7be,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0603145e-db1c-4c9b-bab2-ad1caadc9aff,ce-a7f6202e-070b-462c-ab05-e5dc1d9f21f9,ce-a7f6202e-070b-462c-ab05-e5dc1d9f21f9
ce-0614e105-58d3-4386-a44b-98bb21ba8f6e,ce-6765e17b-6c18-49ff-af7a-6e14b85ef2c9,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0615654e-3ced-4943-a8b8-e38e48cbdc00,ce-8ddbf031-bad6-4b19-b726-066d5f71ad01,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-061ba5e5-5ba4-4553-939f-37d2d238c115,ce-886e0dba-db0a-40f9-9067-1b282853d3fd,ce-886e0dba-db0a-40f9-9067-1b282853d3fd
ce-0674c14f-a869-41c9-8fcd-76920c445cac,ce-a7f6202e-070b-462c-ab05-e5dc1d9f21f9,ce-a7f6202e-070b-462c-ab05-e5dc1d9f21f9
ce-06798edf-8ad9-44ff-bed1-4688754cc228,ce-10309570-b982-44b5-8949-e2f1e2de7ee1,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-068cdfbe-4418-4689-9565-8c431d1a2ce3,ce-102ba36c-2845-4fee-8ca8-223c3faafef4,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0694e9c3-6a57-4f29-8713-9cf5f208ed69,ce-f5cba673-fca2-469c-a13f-b1c036d599bb,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-06af7611-ff5e-40e9-830b-0cc212cdbc7d,ce-ab5cf847-04f6-40ad-a54b-08e8bbfe700c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-06bb1063-5ae8-49b1-9977-1bcecde17463,ce-44699d39-2290-4086-b884-ee2aa7f748b4,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-06c0dae0-2f4f-4a5e-b1a5-f7f6b1c2d1b5,ce-8ddbf031-bad6-4b19-b726-066d5f71ad01,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-06ce65ad-9568-4796-a90b-07cc73056ca7,ce-4e1d2e74-ce38-4366-bc19-c0aea426b68f,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-06d76f26-14a0-4fe1-a8eb-a5d65728f81e,ce-886e0dba-db0a-40f9-9067-1b282853d3fd,ce-886e0dba-db0a-40f9-9067-1b282853d3fd
ce-06e410d5-6c65-4bd0-ae1c-e5fc589b78e4,ce-092da299-4bb5-43da-9a8d-b5946e05ce62,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-06e9c7aa-18cb-4739-8966-7d1e249fc103,ce-e3b7b345-738e-479c-a618-d1bf094c69b9,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-07315f63-398d-43de-a672-f6a8d7473481,ce-027b7b5e-10ac-4f9d-8fbc-7983a07a48cb,ce-027b7b5e-10ac-4f9d-8fbc-7983a07a48cb
